1,1,1,1,1,1,1,1,1,1
-0.24056,-1.0731,-0.46925,-0.22472,213.24,231.71,0.96697,84.949,0.29109,223.67
-0.38626,-0.71206,-0.3591,-0.42932,187.23,222.38,0.97916,66.671,0.35069,233.67
0.036266,-0.63102,-1.3974,-2.3036,200.76,223.8,0.99009,98.269,1.6482,240.33
-0.14945,-0.66952,-1.0248,-1.2025,221.26,243.51,0.92222,72.266,0.74282,245.17
-0.24394,-1.0437,0.49353,0.41854,172.88,175.04,0.84925,70.434,0.34237,280.33
0.078813,-0.56498,-0.084709,-0.2822,203.63,238.35,0.79379,61.275,0.80773,276.67
-0.20329,-0.98256,-0.65788,-0.81089,187.98,188.18,0.90567,69.078,0.33858,255.33
0.18591,-0.15839,-0.00060271,0.19121,231.8,231.07,0.83871,138.71,1.0528,371
-0.072504,-1.084,-0.061185,-0.0027205,223.19,234.7,0.90803,69.402,0.27544,316.83
0.16224,-0.43058,0.84344,0.84558,211.25,229.65,0.76347,97.436,0.85044,308.17
-0.12304,-0.66063,-0.55623,-0.67073,217.77,232.4,1.0186,73.625,0.016815,252.5
-0.067686,-0.2778,-1.0797,-1.0455,219.28,229.25,0.76046,107.44,0.48726,315.17
-0.088095,-1.305,-0.55131,-0.25728,247.3,251.46,0.98107,86.508,0.27313,210.33
0.042555,-0.53147,-0.023133,0.15127,210.13,220.84,0.87693,90.041,1.0083,262.33
0.10354,-0.6998,0.29916,0.76898,238.93,236.02,0.87574,74.694,0.35735,254.83
-0.063725,-0.83946,-0.28919,-0.45434,176.73,204.5,1.0252,99.653,0.81799,227.33
0.019391,-0.86137,0.10306,0.003104,202.05,250.64,0.99557,93.639,0.66596,221
-0.4706,-0.90275,-0.83424,-0.16599,241.51,283.87,0.96389,72.315,0.44729,234.17
-0.052063,-0.24122,-0.0044898,-0.1212,208.15,248.42,0.96863,74.582,1.1648,223.33
0.1993,-0.37982,-0.49432,-0.49388,224.7,229.83,0.95013,77.402,0.49517,219.17
-0.12781,-0.53745,-0.65866,-1.0508,197.25,207.11,0.94174,68.864,0.35421,294.33
-0.057057,-0.78879,0.22212,0.27098,218.7,205.98,0.95424,69.695,0.28742,235.5
-0.13642,-0.52458,-0.26642,-0.16758,195.37,199.55,0.97571,96.868,0.90562,219
0.090379,-0.63417,0.068501,-0.086654,218.93,237.69,1.0172,126.07,1.8634,208.67
-0.11071,-0.78027,-0.2425,0.021335,206.87,218.55,1.0309,73.381,0.85563,237.17
-0.082532,-0.147,-0.25472,-0.20276,225.55,236.73,0.89472,68.288,0.39642,228.83
-0.083639,-0.56423,-0.41689,-0.49643,212.82,223.33,0.92947,80.448,0.37904,219.17
-0.12925,-0.58081,0.26685,-0.17901,158.01,177.34,1.016,80.763,0.30696,219.67
0.062288,-0.52135,-0.53011,-0.36018,201.4,200.19,0.92935,76.481,0.22751,254.67
-0.10621,-0.84752,-0.13568,-0.14101,185.23,202.85,0.91672,74.715,0.57238,242
-0.0015688,-1.0716,-0.23006,-0.084402,193.03,178.91,0.95699,98.44,0.41891,232.83
-0.066584,-0.54079,-0.41744,-0.38542,335.4,259.83,0.83818,73.685,0.48908,247.33
0.067615,-0.87461,-0.44651,-0.29437,240.51,232.04,1.0309,76.43,2.0891,265.67
-0.068276,-0.2483,-0.79103,-0.57104,221.01,231.2,0.70985,81.283,0.4201,263.67
0.37319,-0.26496,-0.40651,-0.37955,222.63,200.56,0.92198,74.145,0.13212,239.5
-0.35438,-0.63032,-0.742,-0.71869,199.25,203.13,0.8248,77.485,-0.55448,340.33
-0.28655,-0.87068,-1.0907,-0.37305,257.68,269.84,0.95836,73.335,1.12,244.5
-0.23891,-0.83049,-1.1903,-1.7395,234.03,249.41,0.82093,78.342,-0.68038,325
0.12987,-0.49162,-0.42338,-0.1244,220.71,244.29,0.8467,71.494,0.64643,279.67
-0.038934,-1.0532,-0.93344,-0.70147,201.86,307.29,0.96994,87.069,0.77727,274.17
0.030741,-0.81129,-0.24723,0.11975,202.03,204.88,1.0052,108.69,0.80674,236
0.024505,-1.0262,-0.59196,-0.71973,199.19,207.31,0.90471,84.538,0.53063,246.33
-0.004184,-0.52032,0.1932,0.42716,231.65,246.51,0.83046,69.017,0.0090044,261
-0.045987,-0.77787,-0.25515,0.34536,213.8,207.78,0.9835,122.34,1.7948,230.17
-0.24796,-1.0373,-0.63153,-1.0228,236.11,243.91,0.87858,92.291,1.0858,241.5
-0.16237,-0.94881,-0.32901,-0.42733,232.51,264.77,0.88658,67.701,0.9339,249.67
-0.048309,-0.85363,-0.52281,-0.11368,217.17,224.35,0.88549,73.655,0.49039,254.17
-0.32113,-0.98467,0.04064,-0.12877,184.09,184.87,0.99091,83.05,0.58314,236
-0.34695,-0.88884,-0.63967,-0.92186,175.09,187.74,0.92009,84.77,0.39828,257
